que informaven sobre la interrupció del servei a causa de l'avaria d'aquest dimecres. Tres detinguts acusats d' agredir dos vigilants de seguretat a la línia 4 del metro de Barcelona Barcelona (ACN).- Els Mossos d'Esquadra van detenir,"va perdre la consciència després de ser emmanillat pels agents després. La policia catalana el va retenir després d' agredir greument la seva parella a un pis de Salou (Tarragona), ha informat aquest dijous la policia catalana. Cap a les 22 hores"
"mort. L'home hauria intentat ignorar-los, però quan es va disposar a entrar al portal del seu domicili, un d'ells el va agredir amb un ganivet, mentre l'altre li donava cops amb els peus i punys. A causa de l'agressió, la víctima va patir talls als","estar cinc minuts i se'n van anar, al contrari dels denunciants que diuen que van intervenir amb les defenses i els van agredir . L'advocat ha lamentat que el CIE no hagués conservat les gravacions dels incidents per aclarir els fets i, en aquest"
) Pol Molas és analista naval al Centre d'Estudis Estratègics de Catalunya (CEEC) S'ajorna fins dimarts el judici per agredir dos mossos a Garriguella ACN | GARRIGUELLA El Jutjat de Figueres ha decidit ajornar fins el proper dimarts a les deu del,"un ganivet de grans dimensions Tàrrega (ACN).- Els Mossos d'Esquadra busquen l'agressor que aquest dilluns a la nit va agredir amb un ganivet de grans dimensions un home d'uns 40 anys, espanyol i veí de Tàrrega. Els fets van tenir lloc cap a les 11 de"
"ajornar fins el proper dimarts a les deu del matí el judici a tres homes, d'entre 32 i 35 anys d'edat i ètnia gitana, que van agredir i colpejar amb barres de ferro dos Mossos d'Esquadra fora de servei la nit de cap d'any a Garriguella (Alt Empordà). En",", cosa que els mossos i altres testimonis no van veure. En tot cas, els testimonis han dit que els mossos van actuar sense agredir Bayard, però utilitzant la força mínima imprescindible. Es dóna la circumstància que el cambrer havia fet el servei"
"de ferro i altres objectes contundents. Els homes, tots ells d'entre 32 i 35 anys d'edat, van començar a colpejar i agredir els mossos. En concret, els detinguts van colpejar un dels policies al cap amb una barra de ferro i van tirar puntades de","de fets la frase ""espera que et vaig a explicar qui sóc jo"" i que abans que es produïren els trets el ciutadà romanès va agredir amb un ""objecte punxant"" i no una navalla l'amic del Policia Local. Així, el Suprem recull que ""la narració fàctica de l'"
"l'organisme que impulsarà l'esplanada dels museus a Montjuïc S'ajorna fins dimarts el judici a tres detinguts per agredir dos mossos Segons la versió policial l'agressió, amb barres de ferro, es va produir després que els agents van","Cosidó, també defensava l'actuació dels agents. Cosidó diu que després que el jove denunciés que uns agents el van agredir per portar una estelada penjada al coll, va demanar informació per saber 'exactament' com va ser la detenció. 'Per la"
"es van acostar a la víctima per exigir-li diners sota amenaces de mort, i quan entrava al portal de casa seva li van agredir amb un ganivet i li van propinar cops de puny i puntades de peu que li van causar talls als braços, una fractura nasal i la","policial va ser la correcta, que l'home estava molt agressiu, abans i després de l'arribada dels mossos, i que en va agredir un parell: ""Va mossegar el braç d'un agent i les parts baixes de l'altre agent"". Segons un altre testimoni, ja feia dies"
"que duia, sota amenaces de mort. Va intentar ignorar-los però quan entrava al portal del seu domicili un d'ells el va agredir amb un ganivet, mentre l'altre li donava puntades de peu i cops de puny. Segons el cos policial, arran de l'agressió la",del club o en el referèndum per la proposta del Nou Espai Barça. Diligències contra un veí de Vic acusat d&rsquo; agredir una agent de la zona blava Els fets van ocórrer ahir al matí al carrer Candi Bayés del barri del Remei. La Guàrdia Urbana va
"de la pell, inclús de la religió que practiques. El Sr. Anglada no té potestat per dir qui és i qui no és català, tampoc per agredir amb les seves piulades plenes de prejudicis cap persona i menys un infant. El meu fill creixerà i viurà lliurement en","reservada. Defensa la detenció del veí de Cadaqués a la final de la Copa Rafa Martín assegura, en canvi, que el van agredir per portar una estelada penjada al coll. El jove va quedar en llibertat provisional. Jordi Turull passa ""del segle"
"davant del seu institut, a la localitat mallorquina de Marratxí. Els Mossos d'Esquadra detenen dos menors per agredir i robar la cartera i dos mòbils a un home a Sant Martí Barcelona (ACN).- Els Mossos d'Esquadra han detingut aquest","de banderes espanyoles que s'hi aprecien, en plena dictadura de Primo de Rivera. Detenen un home per amenaçar i agredir amb una navalla una companya de feina a l'Alt Empordà Cabanes (ACN).- Els Mossos d'Esquadra van detenir el 9 d'abril a"
"que un home havia estat assaltat per dos joves, que posteriorment han fugit en bicicleta. Els menors estan acusats d' agredir la víctima i sostreure-li la cartera amb targetes de crèdit i diners i dos mòbils. Els agents han localitzat poc després",el 9 d'abril a Cabanes (Alt Empordà) un home de 36 anys -de nacionalitat boliviana i veí de Figueres- acusat d'amenaçar i agredir amb una navalla una companya de feina. Els fets es van produir el mateix dia al matí quan la víctima en arribar a l'entrada
"a una ràdio argentina. ""Mentre el club em vulgui seguiré aquí. Tinc el suport de la gent. En cap moment vaig pensar d' agredir ningú"", va afegir, en referència a la seva polèmica acció. Curiosament, el seu company Sergio Ramos va penjar un","encausats formaven part del grup que va entrar a la seu de la Generalitat i de la llibreria Blanquerna a Madrid i que va agredir diversos assistents a la celebració institucional de la Diada, alhora de llançaven per terra una bandera catalana."
"d'ajuda i va tornar amb tres homes més i va colpejar els agents amb barres de ferro. Soliguer ha explicat que també van agredir la dona d'un dels mossos, que és guàrdia urbana a Figueres. Arran d'aquests fets, els Mossos d'Esquadra van detenir el",", que també ha desitjat una feliç diada a tots els catalans. Imputats tres policies del CIE de la Zona Franca per agredir immigrants el Cap d'Any Un jutjat de Barcelona ha imputat tres agents de la policia espanyola per agredir suposadament"
"amb més gent per iniciar ""una agressió del tot desproporcionada i sense cap fonament"". ""Anaven amb pals i amb ànim d' agredir "", va afegir. La piscina coberta de Tossa reobrirà a finals de gener TOSSA DE MAR | DDG La piscina municipal de Tossa de Mar",Franca per agredir immigrants el Cap d'Any Un jutjat de Barcelona ha imputat tres agents de la policia espanyola per agredir suposadament diversos immigrants del Centre d'Internament d'Estrangers (CIE) de la Zona Franca el Cap d'Any. Els
"i un menor després de cometre un robatori violent en un domicili dek carrer Cendrassos de Figueres. Els dos joves van agredir la propietària de l'habitatge després de trucar la porta del domicili i que la dona, de 73 anys, els obrís. Un cop a dins,","màxim responsable policial del CIE la tarda del 31 de desembre, que alguns interns han identificat com un dels que els va agredir a les dutxes, i qui va ordenar l'entrada dels antiavalots. També hauran de declarar com a imputats dos agents més que"
"a persones amb problemes de parla o oïda, entre d'altres. Detenen dos joves a Figueres acusats d'assaltar un domicili i agredir una dona de 73 anys Els fets van passar cap a dos quants de dotze de la nit de diumenge quan els dos joves van trucar a la porta",míssils que després era exportada a l'Iran. Comença el judici contra quatre guàrdies civils acusats de torturar i agredir un turista a Calvià. La Fiscalia demana per a ells penes d'entre 11 i 16 anys de presó. El Ministeri d'Indústria ha donat
"estar actiu durant uns dies el segon compte amb contingut molt similar: frases vexatòries contra les dones, incitant a agredir les dones i celebrant els casos de violència domèstica. Tot, a més, acompanyat de fotos de dones maltractades i amb","de Benítez el van colpejar, en una ""coreografia"" pensada i gens espontània, en la qual l'empresari del Gaixample no va agredir cap policia. La veïna va parlar l'endemà amb uns agents al replà de casa i els va preguntar si Benítez estava viu després"
"van passar la nit del 28 de maig del 2005 quan un grup d'unes quinze persones, (els 9 adults i sis menors més) van començar a agredir altres persones a la zona del concert, algunes de les quals van resultar ferides. En aquesta baralla va trobar la mort",". A la vegada s'assumeix que l'augment té un matís d'excepcional i ve després d'anys de retallada . Un detingut per agredir la Guàrdia Urbana a Vic Durant el cap de setmana, a més, la Guàrdia Urbana ha denunciat penalment dos conductors per"
de 2013 l'aprovés. L'edifici es va incorporar al Pla Dintres a causa del seu mal estat de conservació. Set detinguts per agredir dos vigilants de seguretat en dues discoteques de Barcelona Barcelona (ACN).- Els Mossos d'Esquadra van detenir,"en un bar. Quan van arribar els agents van detectar l'home, de 26 anys, alterat i agressiu. Durant la mediació el jove va agredir un agent, segons fonts policials, i se'l va acabar detenint. Durant el cap de setmana, a més, la Guàrdia Urbana ha"
"d'Esquadra van detenir diumenge passat a la matinada cinc homes, d'entre 30 i 36 anys i nacionalitat canadenca, per agredir un vigilant de seguretat d'una discoteca del districte de Sants-Montjuïc a Barcelona. Els detinguts consumien","d'haver-se comès ""per motius de discriminació a causa de raons ideològiques i/o nacionals"". Faixò assegura que el van agredir després de dir-li: ""Ara veuràs, català de merda!"". Mas demana un diàleg sense condicions i diu que Espanya pot seduir"
